text,commit message for
Updated to JUnit 4.11. Relates to #255. Might also relate to #322. IntelliJ IDEA reports features with Background and Scenario Outline incorrect.y. Might be the case on master too.,adding new features
Improved performance on massive insert using indexes,improving non-functional requirements
2 more duplicate module refrences,commits that belong to no category
bug 10629: fixed regression bug in listVms - security group name and display text weren't returned,bug fixing
cloudstack 3.0 UI - VPC feature - fix a bug that shortLabel was not localizable. (Reviewed-by: Brian),bug fixing
AVRO-752. Java: Enhanced Performance Test Suite,improving non-functional requirements
cloudstack 3.0 UI - fix space problem from a patch,bug fixing
[JENKINS-28041] fix failing unittest,bug fixing
Adding missing features of scrap reports - TRUNK-1808,adding new features
front-end CLI hook up. This feature is now visible,adding new features
"new UI - Account page - fix a bug that JS error ""$midmenuItem1 is null or not an object "", ""jsonObj is null or not an object"" when switching between tabs on an empty page.",bug fixing
+10-15% performance improvements to light shaders. Testing with specular maps.,improving non-functional requirements
bug 8246: remove temporary UI fix since API Bug 7410 has been fixed.,bug fixing
improved parseArrayMapping performance,improving non-functional requirements
Add buttons to the feature demo which control the built-in progress bar. This is not represented on the pre-3.0 action bar.,adding new features
Improved performance of TRAVERSE and SQL graph functions,improving non-functional requirements
"fix a bug - if adding an item fails and appears in red, the next successfully added item appear in red, too. (after this fix, the next successfully added item will appear in green).",bug fixing
SONAR-5490 Improve readability and payload of results in the Coding Rules page,improving non-functional requirements
avg function: small refactoring to improve code reuse and fix possible,improving non-functional requirements
"major integration testing work, consolidation of the API operations on all layers, other improvements",improving non-functional requirements
TRUNK-3780 Searching for patient with patient name/new feature,adding new features
"reverted the camera fix, because it is wrong",bug fixing
"new UI - Update VM - related UI change after bug 6489 (""updateVirtualMachine API should return an embedded object on success"") is fixed.",bug fixing
Backporting: Aware of module feature causes OpenMRS to crash - TRUNK-2849 to the 1.9.x branch,adding new features
Uses a fixed key length of 8 for the BerkeleyJE adapter which improves performance.,improving non-functional requirements
follow-up bug fix to  7bcc8107e2200fb9cd82788dbef471c612d9771f,bug fixing
HBASE-975  Improve MapFile performance for start and end key,improving non-functional requirements
Improved performance of scripts by compiling them,improving non-functional requirements
CLOUDSTACK-3121: UI > VPC dashboard - fix a bug that showed wrong count number of private gateways.,bug fixing
improved parse from bytes performance,improving non-functional requirements
Improved performance to retrieve fields from documents,improving non-functional requirements
"Added debugging in UI, fixed bugs in browsing file system",bug fixing
[Java Play Framework] Remove most warnings + bug fixes (#6275),bug fixing
improve unpooled statement's performance,improving non-functional requirements
cloudStack 3.0 new UI - VM wizard - step 5 - some bugs have been fixed in widget code. Here is related UI change.,bug fixing
"adding a maintenance feature to list patients who are also users. (This should probably be removed before the 1.6 release, assuming that we switch the API to properly support that feature.)",adding new features
CLOUDSTACK-5481: fix ui bug when regular user add isolated network,bug fixing
[WFLY-4873] Update the servlet-feature-pack templates to version 4.0 of the schema.,adding new features
bug 7014: fixed JS error when attempting to view a non-selected vm instance,bug fixing
"new UI - fix a bug: ""When you execute actions in vm, the result is in red even though it was successful. It shouldn't be in red when action is successful.""",bug fixing
CLOUDSTACK-4998 additional bug fixed,bug fixing
AVRO-460. Performance improvement to write_long(). Contributed by Bruce Mitchener.,improving non-functional requirements
Enhance GenericResultPoint and move some logic out of qrcode packages for reuse with datamatrix soon,improving non-functional requirements
Issue #1602. Small SBTree performance improvement.,improving non-functional requirements
nested optional block was not working. Fixed that bug.,bug fixing
Improve performance of this method,improving non-functional requirements
"Largely completed, uber-cool federation feature.",adding new features
Use more restrictive filter in External TLD scanning to improve performance,improving non-functional requirements
Distributed: improved performance in case of tx and commands,improving non-functional requirements
improve readability of language selection on the profiles page,improving non-functional requirements
Prevent duplicate Permission or PermissionGroup objects from being created.,commits that belong to no category
HLL Performance improvement: remove useless call to Math.floor,improving non-functional requirements
HADOOP-7761. Improve the performance of raw comparisons. Contributed by Todd Lipcon.,improving non-functional requirements
ISPN-1015 - Optimize HotRod client to match Memcached performance,improving non-functional requirements
Issue #1404  WAL performance improvements.,improving non-functional requirements
"Improve writing performance: use NIO, pre-create tmp directories etc",improving non-functional requirements
picking up new svnkit that has better exception chaining and fixed infinite loop,bug fixing
